Date,ID,VIP Price,Type,Time,Gold Price,Silver Price,Name,Bronze Price,General Admission Price
09/04/2025,1,26.25,Sport,7:05 PM,22.5,18.75,UTEP Football 1,16.25,12.5
09/11/2025,2,26.25,Sport,7:05 PM,22.5,18.75,UTEP Football 2,16.25,12.5
09/18/2025,3,26.25,Sport,7:05 PM,22.5,18.75,UTEP Football 3,16.25,12.5
09/25/2025,4,27.3,Sport,7:05 PM,23.4,19.5,UTEP Football 4,16.9,13
10/02/2025,5,27.3,Sport,7:05 PM,23.4,19.5,UTEP Football 5,16.9,13
10/09/2025,6,28.35,Sport,7:05 PM,24.3,20.25,UTEP Football 6,17.55,13.5
10/16/2025,7,28.35,Sport,7:05 PM,24.3,20.25,UTEP Football 7,17.55,13.5
10/23/2025,8,29.4,Sport,7:05 PM,25.2,21,UTEP Football 8,18.2,14
10/30/2025,9,29.4,Sport,7:05 PM,25.2,21,UTEP Football 9,18.2,14
11/06/2025,10,29.4,Sport,7:05 PM,25.2,21,UTEP Football 10,18.2,14
11/13/2025,11,29.4,Sport,7:05 PM,25.2,21,UTEP Football 11,18.2,14
11/20/2025,12,29.4,Sport,7:05 PM,25.2,21,UTEP Football 12,18.2,14
11/27/2025,13,42,Sport,7:05 PM,36,30,UTEP Football 13,26,20
11/20/2025,14,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 1,19.5,15
11/22/2025,15,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 2,22.1,17
11/27/2025,16,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 3,19.5,15
11/29/2025,17,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 4,22.1,17
12/04/2025,18,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 5,19.5,15
12/06/2025,19,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 6,22.1,17
12/11/2025,20,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 7,19.5,15
12/13/2025,21,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 8,22.1,17
12/18/2025,22,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 9,19.5,15
12/20/2025,23,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 10,22.1,17
12/25/2025,24,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 11,19.5,15
12/27/2025,25,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 12,22.1,17
01/01/2026,26,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 13,19.5,15
01/03/2026,27,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 14,22.1,17
01/08/2026,28,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 15,19.5,15
01/10/2026,29,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 16,22.1,17
01/15/2026,30,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 17,19.5,15
01/17/2026,31,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 18,22.1,17
01/22/2026,32,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 19,19.5,15
01/24/2026,33,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 20,22.1,17
01/29/2026,34,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 21,19.5,15
01/31/2026,35,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 22,22.1,17
02/05/2026,36,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 23,19.5,15
02/07/2026,37,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 24,22.1,17
02/12/2026,38,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 25,19.5,15
02/14/2026,39,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 26,22.1,17
02/19/2026,40,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 27,19.5,15
02/21/2026,41,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 28,22.1,17
02/26/2026,42,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 29,19.5,15
02/28/2026,43,35.7,Sport,7:15 PM,30.6,25.5,UTEP Basketball 30,22.1,17
03/05/2026,44,31.5,Sport,6:30 PM,27,22.5,UTEP Basketball 31,19.5,15
